experiment_id,fruit_type,fruit_id,roi_id,image_path,raw_path,timestamp,eol_timestamp,rul_hours,temperature_c,humidity_pct,firmness_avg,firmness_available,valid_frame,exclude_reason,eol_basis,label_status
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_12-26-28_frame-1_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-1_12-26-28_F01.png,2026-03-18 12:26:28,2026-03-26 08:00:06,187.56,21.4,58.6,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_12-41-28_frame-2_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-2_12-41-28_F01.png,2026-03-18 12:41:28,2026-03-26 08:00:06,187.31,22.0,55.8,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_12-56-28_frame-3_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-3_12-56-28_F01.png,2026-03-18 12:56:28,2026-03-26 08:00:06,187.06,22.7,59.9,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_13-11-28_frame-4_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-4_13-11-28_F01.png,2026-03-18 13:11:28,2026-03-26 08:00:06,186.81,21.5,63.3,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_13-26-28_frame-5_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-5_13-26-28_F01.png,2026-03-18 13:26:28,2026-03-26 08:00:06,186.56,21.5,58.3,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_13-41-28_frame-6_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-6_13-41-28_F01.png,2026-03-18 13:41:28,2026-03-26 08:00:06,186.31,21.9,63.6,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_13-56-28_frame-7_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-7_13-56-28_F01.png,2026-03-18 13:56:28,2026-03-26 08:00:06,186.06,22.7,61.0,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_14-11-29_frame-8_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-8_14-11-29_F01.png,2026-03-18 14:11:29,2026-03-26 08:00:06,185.81,22.3,57.7,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_14-26-29_frame-9_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-9_14-26-29_F01.png,2026-03-18 14:26:29,2026-03-26 08:00:06,185.56,22.3,61.2,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_14-41-29_frame-10_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-10_14-41-29_F01.png,2026-03-18 14:41:29,2026-03-26 08:00:06,185.31,21.1,61.4,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_14-56-29_frame-11_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-11_14-56-29_F01.png,2026-03-18 14:56:29,2026-03-26 08:00:06,185.06,21.8,61.0,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_15-11-29_frame-12_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-12_15-11-29_F01.png,2026-03-18 15:11:29,2026-03-26 08:00:06,184.81,21.1,58.8,,False,True,,manual,approved
RUL_FINAL,strawberry,F01,F01,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\final\F01\2026-03-18_15-26-29_frame-13_F01.png,C:\Users\admin\Desktop\Strawberry-RUL-prediction\data\02_processed\assigned_18-03-2026\F01\frame-13_15-26-29_F01.png,2026-03-18 15:26:29,2026-03-26 08:00:06,184.56,22.7,63.6,,False,True,,manual,approved
